id;myzone;neighborhood;going;place;route;routine_id;hub;slots;description;created_at;updated_at;week_days;repeats_until;done;deleted_at;date
;Zona Oeste;Campo Grande;;Centro CG;Av Brasil - Mendanha ;;CCS: Frente;;"Saindo às 17 
";2016-04-14 02:29:14;2017-04-19 11:59:25;5;;;2016-04-14 02:30:30;2016-05-13 03:00:00
;Zona Norte;Engenho de Dentro;;Rua Ana Leonidia esquina com dois de fevereiro;Linha Amarela ;;CT;;;2016-04-14 11:56:25;2017-04-19 11:59:25;1,5;;;2016-04-14 11:59:22;2016-06-06 07:00:00
;Zona Norte;Vila Isabel;;Casa do Biscoito da 28;28, Silva Pinto, Teodoro, Maracanã, São Cristóvão;;CT;;"Ar condicionado ♥️
Aceito contribuições 💸";2016-04-10 22:07:26;2017-04-19 11:59:25;;;;2016-04-11 08:52:37;2016-04-12 08:00:00
;Zona Norte;Tijuca;;Metro Uruguai;Maracanã;;Reitoria;;Aceito colaborações!;2016-06-28 17:56:34;2017-04-19 11:59:25;3;;;2016-06-28 18:00:06;2016-07-06 18:00:00
;Grande Niterói;Centro (Niterói);;;Visconde Do Rio Branco , Saldanha Marinho, Ponte ;;CCS;;"Saindo por volta de 06:40-06:45 do centro 
6,00 por pessoa ";2017-04-09 20:59:45;2017-04-19 11:59:25;;;;;2017-04-10 07:30:00
;Zona Sul;Humaitá;;Do lado do Colégio Andrews;Rua Pinheiro Guimarães, Conde Irajá, Visconde De Silva, Macedo Sobrinho, Rua Humaitá, Rebouças, Paulo De Frontin, Linha Vermelha;;CT;;Não fumo, não cobro carona e saio de casa 9:20 pra aula das 10.;2016-06-07 20:09:17;2017-04-19 11:59:25;;;;;2016-06-08 10:00:00
;Zona Norte;Abolição;;Engenhão ;Linha Amarela;;CCMN: Fundos;;Saio do estacionamento do IGEO. ;2016-04-11 08:30:24;2017-04-19 11:59:25;1,2,3,5;;;2016-04-15 23:03:42;2016-05-13 12:00:00
;Baixada;São João de Meriti;;Casa do Alemão;Linha Vermelha até a Dutra, altura da igreja de Agostinho Porto;;CT: Bloco H;;Peço 4 reais para ajudar no combustível. Posso buscar em Vilar dos Teles ou no centro de SJM. Desejável ter o dinheiro trocado, pois pode acontecer de eu não ter troco. Utilizo o Waze, em caso de engarrafamento;2016-09-09 01:12:34;2017-04-19 11:59:25;2,4;;;;2016-09-22 17:00:00
;Zona Norte;Abolição;;Mercado guanabara Av dom Hélder câmara ;Av Dom Hélder Câmara- Linha Amarela Na Altura Do Prédio Arena;;CT: Bloco A;;;2016-04-28 19:04:22;2017-04-19 11:59:25;1,2,3,4;;;;2016-05-23 20:00:00
;Zona Norte;Vila Isabel;;Shopping Boulevard Rio (Antigo Iguatemi);Linha Vermelha, Centro de Tradições Nordestinas, Rua São Luís Gonzaga, Quinta da Boa Vista, UERJ, 28 de setembro;;CT: Bloco D;;"Anota o wpp (21) 991362511
Música de AC/DC à Rihanna
Ligo o ar
Aceito pequenas contribuições! Ou um mate também cai bem =)";2016-06-29 00:17:10;2017-04-19 11:59:25;;;;;2016-06-29 14:45:00
;Grande Niterói;Centro (Niterói);;Ponto Cem réis ;Letras- Linha Vermelha- Ponte- Ponto Cem Réis;;Letras;;"Na volta o carro sempre volta vazio, sem nenhuma carona. Horário pode variar, dependendo dos professores. 
Esquema de carona compartilhada, assim não fica pesado (R$)  para ninguém.
";2016-04-09 17:37:51;2017-04-19 11:59:25;1,2,3,5;;;;2016-06-20 21:00:00
;Centro;Barra de Guaratiba;;Recreio Shopping;Alvorada;;CCS;;"Aceito ajuda de 6 reais para pedágio e combustível.
WhatsApp 999436806";2017-05-10 15:38:18;2017-05-10 15:38:18;1,2,3,4,5;;;;2017-06-21 09:00:00
;Zona Norte;Vista Alegre;;Perto do Barril 8000;Vila Da Penha, Penha, Av Brasil ;;CT: Bloco A;;;2016-06-21 21:29:08;2017-04-19 11:59:25;3;2016-08-22;;;2016-06-22 17:30:00
;Zona Norte;Abolição;;Engenhão ;Linha Amarela;;CCMN: Fundos;;Saio do estacionamento do IGEO. ;2016-04-11 08:30:24;2017-04-19 11:59:25;1,2,3,5;;;2016-04-15 23:03:34;2016-05-10 12:00:00
;Zona Norte;Vila Isabel;;Praca 7;Praca7, Ufrj;;CT;;"Colaboração 3$ gasolina 
";2016-05-17 08:56:38;2017-04-19 11:59:25;;;;2016-05-17 09:21:07;2016-05-17 10:00:00
;Zona Norte;Vista Alegre;;Perto do Barril 8000;Vila Da Penha, Penha, Av Brasil ;;CT;;;2016-06-21 21:28:43;2017-04-19 11:59:25;3;;;;2016-08-10 08:00:00
;Baixada;São João de Meriti;;Dutra-PostoBr/Casa do alemão;Shopping Grande Rio/Pedacinho do Ceu/Praça Gil;;CCS: Frente;;;2016-05-02 11:25:38;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-05-31 16:45:00
;Zona Oeste;Pechincha;;Instituto Ortopédico ;Linha Amarela ;;Reitoria;;;2016-04-25 12:59:13;2017-04-19 11:59:25;1,3,4,5;;;2016-04-28 12:04:38;2016-06-17 16:30:00
;Baixada;Duque de Caxias;;pq Lafaiete, prezunic centro caxias, adjacencias;linha vermelha;;CT: Bloco A;;;2016-04-22 15:26:13;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-07-14 20:00:00
;Baixada;Duque de Caxias;;Hospital Duque;Hospital Duque, Nilo Peçanha, Shopping center, Linha vermelha, Letras, COPPEAD;;Reitoria;;Carro com ar condicionado, apenas não fumantes, sem cachorro/animais, considerar ajuda de custo para gasolina a combinar.;2019-05-13 22:29:52;2019-05-13 22:29:52;1,2,3,4,5;2019-07-20;;;2019-06-28 08:15:00
;Baixada;Duque de Caxias;;Jardim Primavera;Washington Luiz;;CT;;Pra chegar 08h no Fundão;2017-05-04 16:30:29;2017-05-04 16:30:29;1,2,3,4,5;;;;2017-06-01 07:00:00
;Zona Sul;Copacabana;;Santa clara 98;Barata Ribeiro, Corte Do Cantagalo E Rebouças ;;CT;;Contribuições são bem vindas. Sugestão: R$4,00.;2016-05-15 18:24:50;2017-04-19 11:59:25;;;;2016-05-15 18:25:21;2016-05-16 07:45:00
;Baixada;Duque de Caxias;;"Teatro Raul Cortez; Bar dos Cavaleiros";"Linha vermelha; Av. Presidente kennedy; Av. Doutor Manoel Teles ";;CT: Bloco D;;Aula acaba as 16h;2016-04-12 02:10:27;2017-04-19 11:59:25;1;;;2016-04-12 02:31:57;2016-07-04 16:30:00
;Zona Norte;Del Castilho;;Metro;Linha Amarela;;CT: Bloco H;;Três reias pra ajudar na gasosa, galera!;2016-05-10 11:04:17;2017-04-19 11:59:25;;;;2016-05-10 11:29:29;2016-05-10 11:20:00
;Zona Norte;Grajaú;;Praça Edmundo Rego;Andaraí, Vila Isabel;;CCMN;;"Horário de Saída - 9:20~9:30
Entre em contato para combinarmos o ponto de encontro. =D";2016-04-29 08:14:49;2017-04-19 11:59:25;;;;;2016-04-29 10:00:00
;Zona Oeste;Barra da Tijuca;;Shopping Rio Design Barra;Av. Das Américas / Ayrton Senna / Linha Amarela / Fundão;;CT: Bloco D;;R$6,00;2016-04-25 13:37:40;2017-04-19 11:59:25;1;;;;2016-05-16 16:00:00
;Zona Norte;Riachuelo;;Em frente à clínica veterinária caniche;São cristovao (São Luiz Gonzaga até a linha vermelha) e marechal rondom;;CT;;Não fumo. Na terça, Quinta e sexta vou direto para o parque tecnológico mas paro no CT para deixar o pessoal.;2016-04-11 10:38:33;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-05-19 08:00:00
;Baixada;Duque de Caxias;;Instituto Marcos Freitas;;;Letras;;;2016-04-14 07:59:33;2017-04-19 11:59:25;;;;;2016-04-14 13:00:00
;Zona Norte;Portuguesa;;;Estrada do Galeão, canárias, shopping, Moneró;;CT: Bloco H;;;2017-06-19 19:42:06;2017-06-19 19:42:06;1,2,3,4,5;;;;2017-07-04 20:00:00
;Zona Norte;Cachambi;;Norte Shopping - Nova América;Linha Amarela;;CT;;"Não fumo
";2016-04-09 17:34:54;2017-04-19 11:59:25;2,4;;;2016-04-10 11:39:36;2016-06-21 13:00:00
;Zona Norte;Ribeira;;;Posso ir pela Estrada Do Galeão ou pelo Jardim Guanabara. Deixo no Casa Show e durante o trajeto até a Ribeira.;;CCMN: Frente;;"Horários correspondentes á saída da Ribeira e do CCMN. 
Colaboração de 2 reais :) ";2016-04-26 20:14:55;2017-04-19 11:59:25;1,3;;;;2016-05-16 21:30:00
;Zona Sul;Ipanema;;Visconde de Piraja com Farme de Amoedo;Túnel Rebouças;;CT: Bloco A;;"Cobro R$ 4,00
Entrar em contato pelo meu celular: (62) 92550268";2016-04-29 16:37:27;2017-04-19 11:59:25;5;;;;2016-07-01 18:00:00
;Baixada;Duque de Caxias;;Pilar;Presidente Kennedy ou Washington Luiz;;CCS;;;2017-03-14 12:33:28;2017-04-19 11:59:25;1,3;;;;2017-05-08 13:00:00
;Zona Norte;Vigário Geral;;Estação de Parada de Lucas;Rua Bulhões de Marcial, Linha Vermelha;;CCS: Frente;;;2016-11-23 21:55:24;2017-04-19 11:59:25;1,2,3,4;;;;2017-01-17 08:00:00
;Zona Sul;Botafogo;;Morada do Sol;Ilha Do Fundão - Ponte Do Saber - Linha Vermelha - Túnel Santa Barbara - Rua Pinheiro Machado - Rua Marques De Olinda - Praia De Botafogo - Rua Da Passagem;;CCS: Frente;;Auxílio Combustível R$4,00;2017-02-24 00:34:01;2017-04-19 11:59:25;1,4,5;;;2017-03-06 17:44:15;2017-04-24 17:00:00
;Zona Oeste;Recreio dos Bandeirantes;;;Salvador Alende e Linha Amarela ;;Reitoria;;;2016-04-10 10:30:37;2017-04-19 11:59:25;1,2,3,4,5;;;2016-04-10 10:39:19;2016-06-29 06:30:00
;Zona Sul;Flamengo;;Rua Marquês de Abrantes;Pinheiro Machado, Túnel Sta. Bárbara, Leopoldina;;CT;;Colaboração de 2 reais;2016-06-06 22:32:12;2017-04-19 11:59:25;;;;;2016-06-07 07:30:00
;Zona Sul;Cosme Velho;;Colegio São Vicente;Rua Das Laranjeiras, Rua Ipiranga, Túnel Santa Bárbara, Cidade Nova, Leopoldina, Linha vermelha;;Letras;;"Não fumo, e prefiro que não fumem! 😉
Uma ajuda de R$3,00 é bem-vinda! 😀";2016-05-11 17:50:26;2017-04-19 11:59:25;1,3,5;;;;2016-05-30 20:40:00
;Baixada;Duque de Caxias;;Jardim Primavera;Washington Luiz;;CT;;Pra chegar 08h no Fundão;2017-05-04 16:30:20;2017-05-04 16:30:20;1,2,3,4,5;;;;2017-06-15 07:00:00
;Zona Norte;Coelho Neto;;Metrô de coelho neto;Martin luther King, linha amarela, Brasil, aterro do flamengo, botafogo;;Praia Vermelha;;Carro com ar, som de qualidade, bancos de couro, pode levar cachorro se quiser, dirijo com cautela e respeito as leis de transito.;2018-11-09 16:27:06;2018-11-09 16:27:06;1,2,3,4;;;;2019-01-07 12:30:00
;Zona Sul;Copacabana;;Miguel Lemos;Corte;;CT: Bloco A;;;2016-11-08 15:06:53;2017-04-19 11:59:25;;;;2016-11-09 06:23:49;2016-11-08 17:00:00
;Zona Sul;Botafogo;;Morada do Sol;Rua Álvaro Ramos - Rua Tereza Guimaraes - Rua Mena Barreto - Rua Humaita - Túnel Rebouças - Ilha Do Fundão ;;CCS: Frente;;"Auxílio Combustível R$4,00
Saída as 7:15";2017-02-24 00:31:12;2017-04-19 11:59:25;1,2,3,4,5;;;2017-03-06 16:21:50;2017-04-27 08:00:00
;Zona Norte;Tijuca;;Igreja St Afonso;Barão de Mesquita. Paula Santos. Av Maracanã. Pç da Bandeira. Francisco Bicalho;;CCS;;Ajuda 2,00 para combustível.;2018-08-10 14:20:47;2018-08-10 14:20:47;3;;;;2018-08-22 13:00:00
;Zona Oeste;Bangu;;Rua rio da prata, altura da barão;Av Brasil;;CT;;5 reais p ajudar na gasosa;2016-04-27 20:48:50;2017-04-19 11:59:25;2,3,4;;;;2016-06-15 10:00:00
;Zona Sul;Copacabana;;Posto 3;Linha Vermelha, Lagoa, Miguel Lemos, Avenida Atlântica Até Posto 3;;CCMN: Fundos;;Galera, só peço colaboração de 4,00 para gasolina;2017-03-01 18:00:16;2017-04-19 11:59:25;3;;;2017-03-22 07:52:37;2017-03-22 16:40:00
;Grande Niterói;São Gonçalo;;CT;CT - Mocangue(ponte) - BR101 - SG Shopping - P.Pedra - P.Novo;;CT: Bloco H;;Carona para responsáveis e com bom senso. Saio as 15h do estacionamento do CT. Não posso aguardar.;2016-04-14 19:24:58;2017-04-19 11:59:25;3;;;;2016-06-01 16:00:00
;Baixada;São João de Meriti;;Casa do Alemão, Igreja de Agostinho Porto e Vilar dos Teles;Dutra e Vermelha;;CCMN;;Peço 4 reais de ajuda. Local de encontro a combinar;2017-03-02 13:39:34;2017-04-19 11:59:25;1,3;;;;2017-05-29 12:20:00
;Zona Norte;Del Castilho;;Shopping Nova america;LINHA AMARELA;;CT: Bloco A;;;2019-08-26 21:35:56;2019-08-26 21:35:56;1,3,4;2019-10-26;;;2019-10-16 21:40:00
;Zona Norte;Rocha;;Clube do Sargento;Visconde de Niterói>São Cristóvão>Linha Vermelha;;Reitoria;;Aceito qualquer contribuição que seu coração mandar, pra ajudar na gasolina :);2017-05-05 00:17:09;2017-05-05 00:17:09;1,2;;;;2017-05-09 07:30:00
;Baixada;Duque de Caxias;;;Linha Vermelha, Av. Leonel Brizola, Av. Brigadeiro Lima e Silva;;CT: Bloco H;;Contribuições monetárias, sem valor pré-determinado, são bem vindas.;2016-05-05 12:34:17;2017-04-19 11:59:25;;;;;2016-05-05 13:10:00
;Macaé;Bairro da Glória;;MRV Mistral;;;Polo Universitário;;;2019-04-02 20:13:13;2019-06-30 18:25:41;1,2,3,4,5;2019-07-02;;2019-06-30 18:25:41;2019-07-02 22:00:00
;Zona Sul;São Conrado;;Túnel Zuzu Angel ;Rebouças ;;EEFD;;Saio de casa às 7:00;2017-03-27 15:49:04;2017-04-19 11:59:25;3;;;;2017-04-12 08:00:00
;Zona Norte;Engenho Novo;;Lins;Linha Amarela, Maria da Graça, Meier (viaduto) ;;Letras;;;2016-04-15 07:06:49;2017-04-19 11:59:25;5;;;;2016-05-06 15:40:00
;Zona Norte;Vila Isabel;;;LV, São Cristovão, Quinta da Boa Vista, Radial Oeste, Uerj, 28 (até Rua Sousa Franco);;CT: Bloco A;;"Não fumo
Ligo o ar
Peço 3 reais de contribuição:)";2016-04-13 12:10:27;2017-04-19 11:59:25;;;;;2016-04-13 17:00:00
;Zona Oeste;Recreio dos Bandeirantes;;Recreio shopping;Av Das Américas;;CT;;"Aceito contribuições
Deixo em outros centros";2016-11-11 12:34:22;2017-04-19 11:59:25;1,3;;;2016-11-11 12:37:13;2016-12-05 22:00:00
;Zona Norte;Cachambi;;Norte Shopping - Nova América;Linha Amarela;;CT;;"Não fumo
";2016-04-09 17:34:50;2017-04-19 11:59:25;2,4;;;2016-04-10 11:38:56;2016-05-19 13:00:00
;Grande Niterói;São Gonçalo;;;Maria Paula, Alameda, Centro;;CCS;;;2016-10-05 16:26:01;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-10-28 09:00:00
;Zona Sul;Botafogo;;Voluntários da Pátria ;Via Sta Bárbara ;;CCS;;Parada em outros pontos do Fundão. Contribuição 4 reais.;2017-02-14 21:11:34;2017-04-19 11:59:25;1,2,3,4,5;;;;2017-04-10 08:00:00
;Zona Sul;Botafogo;;Praia de Botafogo;Linha vermelha, Santa barbara, praia de Botafogo;;CCS: Frente;;5 reais;2019-04-29 19:56:34;2019-04-29 19:56:34;1,2,3,4,5;2019-06-30;;;2019-06-12 18:00:00
;Zona Norte;Andaraí;;Uerj;Maracanã, sao cristovao, linha vermelha, CCS;;CCS;;Não fumo, respeito é essencial, pode conversar à vontade.;2016-08-29 16:20:12;2017-04-19 11:59:25;1,2,3,4,5,6;;;;2016-10-05 17:00:00
;Zona Sul;Urca;;Praia Vermelha UFRJ;Linha Vermelha, Túnel Rebouças, Humaitá;;Reitoria;;;2016-08-30 15:09:36;2017-04-19 11:59:25;2;;;;2016-10-18 17:30:00
;Baixada;Duque de Caxias;;;Viaduto Brigadeiro, av Duque de Caxias, Caxias Dor, Washington Luiz, Linha vermelha;;CT;;;2016-04-12 10:04:57;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-05-23 08:00:00
;Zona Oeste;Barra da Tijuca;;Centro Metropolitano (Shopping Metropolitano);Linha amarela;;CT: Bloco H;;Solicito uma colaboração de R$4,50 para ajudar no pedágio e gasolina. Estando de acordo, só entrar em contato. Grata.;2019-08-02 10:17:38;2019-08-19 06:53:44;1,2,3,4,5;2019-12-05;;2019-08-19 06:53:44;2019-08-19 18:00:00
;Zona Norte;Vila da Penha;;Shopping Carioca.;Saímos da vila da Penha as 09:30. Seguimos  pela Av Vicente de Carvalho, Penha e avenida Brasil. Passamos por todo o fundão. Do CCS até a reitoria.;;CT;;Eu e minha esposa saimos da vila da Penha e vamos pro fundão. Pedimos contribuição de 5 para a gasolina. Passamos por todo o fundão. Do ccs a o parque tecnológico.;2019-08-06 07:35:44;2019-08-06 07:35:44;1,2,3,4,5;2019-10-06;;;2019-09-05 10:10:00
;Zona Oeste;Taquara;;;;;CT: Bloco H;;;2017-08-17 17:13:03;2017-08-17 17:13:03;1,2,3,4,5;;;;2017-10-03 18:00:00
;Zona Norte;Vicente de Carvalho;;Metro de Irajá e Vicente de Carvalho;Linha Amarela, Shopping Nova América, Automóvel Clube;;CT: Bloco A;;;2016-09-28 14:56:11;2017-04-19 11:59:25;2,4;2017-01-04;;;2016-10-04 10:00:00
;Zona Norte;Tijuca;;;Largo Da Segunda Feira, América ;;CT;;;2016-04-11 10:33:02;2017-04-19 11:59:25;2;;;2016-04-18 22:04:07;2016-05-10 07:10:00
;Zona Sul;Copacabana;;Balada mix;Copacabana, Lagoa, UFRJ;;CCS;;Não fumo.;2017-03-08 11:35:25;2017-04-19 11:59:25;4;;;2017-03-15 22:08:25;2017-04-13 08:00:00
;Zona Sul;Jardim Botânico;;Rua Maria Angélica;Fonte Da Saudade, Rebouças, L.Vermelha ;;CT: Bloco A;;;2016-05-16 11:15:39;2017-04-19 11:59:25;1,2,3,4;;;2016-05-17 09:01:37;2016-06-09 17:00:00
;Baixada;Queimados;;;Dutra, Linha Vermelha;;Reitoria;;;2016-04-11 00:34:10;2017-04-19 11:59:25;3;;;2016-04-11 00:37:36;2016-06-22 09:30:00
;Zona Sul;Copacabana;;posto 3;linha vermelha, lagoa, copacabana ;;CCMN: Fundos;;Colaboração bem vinda ;2016-05-13 00:05:50;2017-04-19 11:59:25;2,3,4;2016-07-17;;;2016-05-17 12:00:00
;Zona Oeste;Jardim Sulacap;;Shopping Jardim Sulacap;Linha Amarela, Dom Hélder, Cascadura, Campinho, Jardim Sulacap;;CT: Bloco H;;;2016-04-14 18:08:32;2017-04-19 11:59:25;3;;;;2016-05-18 16:30:00
;Zona Oeste;Barra da Tijuca;;Santa Mônica;Linha Amarela;;CT: Bloco A;;;2016-05-02 14:45:10;2017-04-19 11:59:25;1,2,3,4,5;;;2016-05-18 18:33:47;2016-07-01 08:00:00
;Centro;Lapa;;Cruz vermelha;;;CT: Bloco H;;;2016-04-12 10:03:35;2017-04-19 11:59:25;2,4;;;;2016-04-26 12:00:00
;Zona Sul;Copacabana;;CCS;rebouças, humaitá, real grandeza, siqueira campos;;CCS: Frente;;3.50 de ajuda na gasolina 😊;2016-05-19 12:22:23;2017-04-19 11:59:25;;;;;2016-05-19 16:00:00
;Zona Norte;Tijuca;;Largo da Usina, Praça Xavier de Brito, Extra Maracanã, Shopping Tijuca, Maracanã, [Quinta da Boa Vista, Feira de São Cristóvão] ou [Praça da Bandeira, Leopoldina].;Rua Rocha Miranda, Largo da Usina, Rua São Miguel, Rua Pinto Guedes, Av. Maracanã, Av. Osvaldo Aranha, [Rua Gal. Herculano Gomes, e Av. do Exército], ou, [Av. Francisco Bicalho], Linha Vermelha;;CT: Bloco H;;"Contribuições monetárias, sem valor pré-determinado, são bem vindas. 
Contato alternativo: Tel.: 98093-4277. Combine com antecedência o horário e chegue com antecedência.";2016-10-18 23:19:14;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-11-18 08:00:00
;Zona Norte;Tijuca;;;Antonio Basilio > Jose Higino > Av. Maracanã > São Cristóvão;;Reitoria;;Contribuição pra gasolina é bem vinda! :);2016-05-10 21:38:11;2017-04-19 11:59:25;2,3,4,5;;;2016-05-10 21:40:42;2016-06-28 08:30:00
;Zona Oeste;Recreio dos Bandeirantes;;Supermercado Mundial;;;Reitoria;;"Saio as 6:20 do Recreio altura Mundial.
Contribuição de 6 reais :)";2016-04-09 18:28:48;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-04-15 07:30:00
;Zona Norte;Tijuca;;Shopping Tijuca ;Maracanã ;;CT: Bloco H;;Posso mudar o caminho. Entrar em contato de preferência pelo WhatsApp para combinar ponto de encontro.;2016-06-20 19:59:58;2017-04-19 11:59:25;2,4;;;;2016-06-30 08:00:00
;Zona Norte;Irajá;;Metro iraja, sentido ao Vicente de Carvalho ;Linha Amarela;;Letras;;Ponto de referência: metro iraja, sentido pra Vicente de Carvalho Contribuição pra gasolina $3,00;2016-06-29 11:56:57;2017-04-19 11:59:25;1,2,3,4;;;;2016-07-04 17:00:00
;Zona Norte;Vila Isabel;;Próximo à 28 de setembro petisco da vila;UERJ, Avenida brasil, O Linha Vermelha;;CCS;;;2016-04-13 19:17:54;2017-04-19 11:59:25;2,3,4,5;;;2016-04-13 19:27:59;2016-05-06 07:00:00
;Zona Sul;Copacabana;;Santa Clara;Rebolças;;CT;;;2016-04-15 13:19:52;2017-04-19 11:59:25;;;;;2016-04-15 14:00:00
;Zona Norte;Vigário Geral;;Praça dois;Estrada do vigário geral;;CT;;Não fuqmo;2017-09-02 17:10:53;2017-09-02 17:10:53;1,3,4;;;;2017-10-30 17:45:00
;Zona Norte;ilha do governador;;Tauá;Ilha - Fundão;;Reitoria;;Não fumo mas não me incomodo só abaixar o vidro, se tiver que carregar muito peso manda uma mensagem a mala não é muito grande mas arranjamos um jeito. Meu celular é o mesmo do WhatsApp!;2018-05-10 06:07:16;2018-05-10 06:07:16;4;;;;2018-05-31 13:00:00
;Zona Sul;Gávea;;rua prof manuel ferreira;lagoa, jardim botanico;;CCS: HUCFF;;;2016-09-12 07:27:40;2017-04-19 11:59:25;3;;;;2016-11-02 12:00:00
;Zona Sul;Copacabana;;Hospital Copa D’or;Linha Vermelha, Túnel Rebouças, Humaitá, Copacabana;;CCS;;Peço ajuda de 5 reais na gasolina;2019-04-01 23:05:21;2019-04-01 23:05:21;1,2,3,4,5;2019-06-02;;;2019-05-28 07:20:00
;Zona Norte;Vila da Penha;;Shopping Carioca.;Saímos da vila da Penha as 09:30. Seguimos ou pela pastor Martin Luther King e linha amarela ou pela Penha e avenida Brasil, dependendo do trânsito.;;CCS;;Eu e minha esposa saimos da vila da Penha e vamos pro fundão. Pedimos contribuição para a gasolina. Passamos por todo o fundão. Do ccs a o parque tecnológico.;2019-05-27 15:04:55;2019-05-27 15:04:55;1,2,3,4,5;2019-07-28;;;2019-06-13 10:00:00
;Zona Norte;Maracanã;;UVA;Leopoldina, Paulo De Frontin, Dr. Satamini, Praça Afonso Pena, Campos Sales, Mariz E Barros, Ibituruna;;CT: Bloco A;;;2016-06-16 11:25:34;2017-04-19 11:59:25;;;;2016-06-16 11:48:51;2016-06-16 16:00:00
;Zona Oeste;Jacarepaguá;;Pechincha;Linha Amarela;;CT: Bloco D;;Não fumo, não levo pets.;2019-08-14 09:58:14;2019-08-14 09:58:14;1,2,3,4,5;2019-12-14;;;2019-09-16 18:00:00
;Baixada;Nova Iguaçu;;Posto 13;Linha vermelha / Dutra;;CT: Bloco A;;Passo em outros prédios do fundão. Contribuição de R$3,00.;2016-04-26 10:09:15;2017-04-19 11:59:25;2,4;;;;2016-04-28 15:00:00
;Zona Oeste;Barra da Tijuca;;Abm;Linha Vermelha;;CCMN;;;2017-10-19 09:18:54;2017-10-19 09:18:54;1,2,3,4,5;;;;2017-12-01 12:00:00
;Zona Oeste;Barra da Tijuca;;Shopping Via Parque;Linha Amarela - Av Ayrton Senna sentido Peninsula;;CT: Bloco A;;Contribuição de 5 reais;2016-04-25 19:39:29;2017-04-19 11:59:25;1;;;;2016-05-30 22:00:00
;Zona Norte;Ribeira;;;Casa Show, Jardim Guanabara;;CCMN: Frente;;;2016-04-26 20:06:36;2017-04-19 11:59:25;3,4;;;2016-04-26 20:10:08;2016-06-22 18:00:00
;Zona Sul;Botafogo;;Rua Dona Mariana ;Rua São Clemente ;;Reitoria;;Quero dividir a gasolina;2016-04-24 21:50:04;2017-04-19 11:59:25;2,3;;;;2016-05-31 08:00:00
;Grande Niterói;Centro (Niterói);;Moreira César altura do Compão;Moreira César, Lopes Trovão, Roberto Silveira e Ponte;;CT;;Não fumo;2016-06-20 21:53:22;2017-04-19 11:59:25;1,3;;;;2016-08-15 07:00:00
;Zona Sul;Copacabana;;Hospital Copa D’or;Linha Vermelha, Túnel Rebouças, Humaitá, Copacabana;;CCS: Frente;;;2019-03-01 14:28:41;2019-03-01 14:28:41;1,2,3,4,5;2019-05-01;;;2019-04-08 18:10:00
;Baixada;Nova Iguaçu;;;Vermelha, Dutra (posto Galop, Carrefour,  posto13, RioSampa, viaduto da Posse), Linave, Rural de NI.;;EEFD;;Saindo do ponto CCS/EEFD. Ajuda de custo é bem-vinda.;2016-04-26 10:55:38;2017-04-19 11:59:25;1,3;;;;2016-05-04 18:00:00
;Zona Norte;Cachambi;;Praça Avaí, Rua cachambi, Norte Shopping, Nova América, Linha amarela;;;CT;;"Ajuda de custo sugerida de R$4,00 
Sem atrasos, pois não tenho tolerância na COPPEAD.";2019-04-15 15:42:55;2019-04-24 14:46:08;1,2,3,4,5;2019-06-16;;2019-04-24 14:46:08;2019-05-08 07:30:00
;Zona Oeste;Freguesia de Jacarepaguá;;Rua Araguaia;;;CT: Bloco D;;;2016-05-11 13:05:29;2017-04-19 11:59:25;;;;;2016-05-11 14:00:00
;Zona Norte;Portuguesa;;Coxinha Lanches;Galeão, Casa Show, Vila Militar;;CCMN: Frente;;;2016-05-26 17:35:05;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-07-26 22:00:00
;Baixada;Nova Iguaçu;;Posto 13;Posto do Habibs / Dutra / Vermelha ou Brasil;;CT: Bloco A;;"Saio 7:10. Passo em outros pontos no caminho e em outros prédios no fundão.
Contribuição de R$3,00.";2016-06-13 08:18:14;2017-04-19 11:59:25;2,4;;;2016-07-07 21:34:10;2016-08-04 09:00:00
;Zona Norte;Tijuca;;Rua Afonso Pena;;;CT: Bloco H;;;2016-08-30 22:45:15;2017-04-19 11:59:25;1,2,3;;;;2016-09-05 08:00:00
;Zona Sul;Catete;;Palácio do Catete;Largo do Machado, Rua das Laranjeiras...;;CT;;"Aceito contribuições de R$: 4,00
Saída 7:30

";2016-05-05 23:28:06;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-06-29 08:00:00
;Zona Sul;Flamengo;;;Túnel Santa Bárbara;;CT: Bloco D;;;2016-05-19 08:26:39;2017-04-19 11:59:25;;;;;2016-05-19 15:00:00
;Zona Norte;Tijuca;;Shopping Tijuca ;Maracanã ;;CT: Bloco H;;Posso mudar o caminho. Entrar em contato de preferência pelo WhatsApp para combinar ponto de encontro.;2016-06-20 19:59:57;2017-04-19 11:59:25;2,4;;;2016-06-22 20:54:53;2016-06-23 08:00:00
;Zona Norte;Vila Isabel;;Shopping Rio Boulevard;Linha Vermelha, São Cristóvão, UERJ, Maxwell;;CCMN: Frente;;Não fumo.;2017-01-26 16:24:37;2017-04-19 11:59:25;;;;2017-01-26 16:26:50;2017-01-26 18:00:00
